sim_time,mode,vehicles_alive,pedestrians_alive,vehicles_spawned,vehicles_exited,pedestrians_spawned,pedestrians_exited,vehicle_throughput_per_min,pedestrian_throughput_per_min
5.02,fixed,7,6,7,0,6,0,0.00,0.00
10.05,fixed,10,10,13,3,10,0,17.91,0.00
15.10,fixed,15,12,22,7,14,2,27.81,7.95
20.12,fixed,17,15,28,11,19,4,32.80,11.93
25.17,fixed,19,17,34,15,24,7,35.76,16.69
30.20,fixed,19,18,37,18,28,10,35.76,19.86
35.22,fixed,19,21,41,22,33,12,37.48,20.45
40.26,fixed,19,22,45,26,37,15,38.75,22.35
45.28,fixed,22,27,51,29,42,15,38.43,19.88
50.30,fixed,24,32,56,32,47,15,38.17,17.89
55.32,fixed,14,18,57,43,51,33,46.63,35.79
60.34,fixed,13,21,61,48,56,35,47.73,34.80
65.35,fixed,15,23,64,49,60,37,44.99,33.97
70.37,fixed,16,26,68,52,65,39,44.34,33.25
