sim_time,mode,vehicles_alive,pedestrians_alive,vehicles_spawned,vehicles_exited,pedestrians_spawned,pedestrians_exited,vehicle_throughput_per_min,pedestrian_throughput_per_min
5.02,mqtt-smart,7,6,7,0,6,0,0.00,0.00
10.02,mqtt-smart,10,10,14,4,10,0,23.96,0.00
15.06,mqtt-smart,18,12,25,7,14,2,27.89,7.97
20.10,mqtt-smart,24,17,35,11,20,3,32.84,8.96
25.14,mqtt-smart,27,21,42,15,24,3,35.79,7.16
30.18,mqtt-smart,18,17,43,25,28,11,49.70,21.87
35.19,mqtt-smart,14,20,48,34,33,13,57.98,22.17
40.19,mqtt-smart,24,24,61,37,37,13,55.24,19.41
45.23,mqtt-smart,17,15,65,48,42,27,63.67,35.82
50.24,mqtt-smart,24,16,74,50,46,30,59.71,35.83
55.25,mqtt-smart,24,20,80,56,50,30,60.82,32.58
60.28,mqtt-smart,25,26,86,61,56,30,60.72,29.86
65.28,mqtt-smart,18,18,88,70,60,42,64.33,38.60
70.31,mqtt-smart,15,20,94,79,64,44,67.41,37.55
75.35,mqtt-smart,20,26,105,85,70,44,67.68,35.03
80.39,mqtt-smart,15,16,110,95,75,59,70.90,44.03
85.43,mqtt-smart,25,17,120,95,79,62,66.72,43.55
90.46,mqtt-smart,27,21,127,100,83,62,66.33,41.12
95.49,mqtt-smart,25,28,131,106,90,62,66.61,38.96
100.49,mqtt-smart,18,18,134,116,94,76,69.26,45.38
105.53,mqtt-smart,15,20,139,124,98,78,70.50,44.35
110.56,mqtt-smart,26,25,152,126,103,78,68.38,42.33
115.56,mqtt-smart,22,15,157,135,108,93,70.09,48.29
120.58,mqtt-smart,19,17,162,143,112,95,71.15,47.27
125.59,mqtt-smart,26,20,171,145,117,97,69.27,46.34
130.59,mqtt-smart,29,24,176,147,121,97,67.54,44.57
135.60,mqtt-smart,21,17,177,156,126,109,69.03,48.23
140.60,mqtt-smart,13,19,180,167,130,111,71.27,47.37
145.63,mqtt-smart,17,22,186,169,135,113,69.63,46.56
150.64,mqtt-smart,29,27,200,171,140,113,68.11,45.01
155.66,mqtt-smart,21,15,203,182,144,129,70.15,49.72
160.68,mqtt-smart,19,16,208,189,148,132,70.57,49.29
165.74,mqtt-smart,25,21,216,191,154,133,69.14,48.15
170.75,mqtt-smart,29,27,223,194,160,133,68.17,46.73
175.79,mqtt-smart,20,17,224,204,164,147,69.63,50.17
180.80,mqtt-smart,12,20,226,214,169,149,71.02,49.45
185.84,mqtt-smart,15,23,233,218,174,151,70.38,48.75
190.85,mqtt-smart,21,25,240,219,178,153,68.85,48.10
195.89,mqtt-smart,20,27,245,225,182,155,68.92,47.48
200.93,mqtt-smart,14,30,247,233,187,157,69.58,46.88
205.96,mqtt-smart,17,33,255,238,192,159,69.33,46.32
